Timestamp (s),Player_Name,X_Pitch (m),Y_Pitch (m),Speed (km/h),Heart_Rate (bpm),Acceleration_m/s2
0.1,Mateus Oliveira (Meia),84.95,48.01,11.3,161,0.0
0.2,Mateus Oliveira (Meia),77.58,54.63,8.4,158,-8.08
0.3,Mateus Oliveira (Meia),86.87,47.16,10.6,163,6.28
0.4,Mateus Oliveira (Meia),92.82,16.66,10.4,159,-0.59
0.5,Mateus Oliveira (Meia),79.02,38.35,7.0,151,-9.57
0.6,Mateus Oliveira (Meia),77.48,26.12,7.6,157,1.71
0.7,Mateus Oliveira (Meia),91.63,38.3,11.4,150,10.62
0.8,Mateus Oliveira (Meia),85.43,50.56,16.2,168,13.47
0.9,Mateus Oliveira (Meia),75.13,44.96,13.8,168,-6.73
1.0,Mateus Oliveira (Meia),86.94,54.31,4.5,155,-25.95
1.1,Mateus Oliveira (Meia),77.18,43.71,4.5,149,0.04
1.2,Mateus Oliveira (Meia),78.24,23.69,6.9,146,6.56
1.3,Mateus Oliveira (Meia),84.66,11.01,9.4,148,7.05
1.4,Mateus Oliveira (Meia),61.98,41.56,9.2,161,-0.56
1.5,Mateus Oliveira (Meia),64.19,36.38,14.0,164,13.24
1.6,Mateus Oliveira (Meia),74.32,27.7,14.2,174,0.61
1.7,Mateus Oliveira (Meia),69.88,20.75,9.0,152,-14.33
1.8,Mateus Oliveira (Meia),80.07,28.77,8.1,158,-2.59
1.9,Mateus Oliveira (Meia),71.81,37.13,11.1,168,8.27
2.0,Mateus Oliveira (Meia),65.36,49.6,13.3,165,6.07
2.1,Mateus Oliveira (Meia),93.14,42.01,11.2,155,-5.68
2.2,Mateus Oliveira (Meia),81.14,59.71,7.3,167,-10.93
2.3,Mateus Oliveira (Meia),79.84,29.2,6.6,161,-2.01
2.4,Mateus Oliveira (Meia),67.47,51.91,4.6,150,-5.54
2.5,Mateus Oliveira (Meia),76.46,39.91,9.8,162,14.49
2.6,Mateus Oliveira (Meia),81.42,48.14,11.5,165,4.77
2.7,Mateus Oliveira (Meia),70.08,36.12,11.9,165,1.24
2.8,Mateus Oliveira (Meia),82.84,54.27,27.4,180,43.06
2.9,Mateus Oliveira (Meia),74.25,43.41,14.9,168,-34.78
3.0,Mateus Oliveira (Meia),75.93,31.77,3.5,156,-31.73
3.1,Mateus Oliveira (Meia),75.85,40.26,10.6,162,19.77
3.2,Mateus Oliveira (Meia),94.06,39.18,10.8,162,0.38
3.3,Mateus Oliveira (Meia),81.34,47.47,8.7,155,-5.7
3.4,Mateus Oliveira (Meia),68.38,26.88,5.7,149,-8.38
3.5,Mateus Oliveira (Meia),88.85,38.03,14.8,160,25.26
3.6,Mateus Oliveira (Meia),68.48,44.33,6.6,157,-22.59
3.7,Mateus Oliveira (Meia),80.03,40.06,0.2,144,-17.82
3.8,Mateus Oliveira (Meia),63.23,58.29,9.1,153,24.58
3.9,Mateus Oliveira (Meia),69.44,48.93,8.0,160,-2.87
4.0,Mateus Oliveira (Meia),81.11,41.79,16.4,167,23.28
4.1,Mateus Oliveira (Meia),87.73,41.74,11.0,158,-15.2
4.2,Mateus Oliveira (Meia),78.11,42.81,31.6,190,57.25
4.3,Mateus Oliveira (Meia),76.98,45.56,8.2,156,-64.87
4.4,Mateus Oliveira (Meia),79.23,20.44,8.2,159,-0.13
4.5,Mateus Oliveira (Meia),66.36,36.06,17.9,168,26.95
4.6,Mateus Oliveira (Meia),70.73,18.34,11.7,166,-17.13
4.7,Mateus Oliveira (Meia),74.81,52.99,3.4,151,-23.14
4.8,Mateus Oliveira (Meia),88.13,39.72,8.0,154,12.92
4.9,Mateus Oliveira (Meia),82.84,35.47,8.9,157,2.45
5.0,Mateus Oliveira (Meia),63.58,49.46,4.6,150,-12.04
5.1,Mateus Oliveira (Meia),83.19,45.09,1.9,148,-7.5
5.2,Mateus Oliveira (Meia),76.43,22.78,11.4,168,26.43
5.3,Mateus Oliveira (Meia),75.95,38.58,5.8,151,-15.56
5.4,Mateus Oliveira (Meia),86.14,34.23,14.0,166,22.82
5.5,Mateus Oliveira (Meia),89.97,16.82,9.0,155,-13.78
5.6,Mateus Oliveira (Meia),90.13,30.51,7.1,157,-5.36
5.7,Mateus Oliveira (Meia),71.86,36.19,29.7,190,62.67
5.8,Mateus Oliveira (Meia),75.32,39.32,13.9,171,-43.82
5.9,Mateus Oliveira (Meia),84.79,24.01,10.2,156,-10.32
6.0,Mateus Oliveira (Meia),88.98,53.27,7.2,158,-8.24
6.1,Mateus Oliveira (Meia),75.9,37.88,5.4,158,-4.91
6.2,Mateus Oliveira (Meia),77.38,39.83,15.4,166,27.66
6.3,Mateus Oliveira (Meia),69.12,43.15,4.7,151,-29.59
6.4,Mateus Oliveira (Meia),70.5,28.61,7.5,157,7.73
6.5,Mateus Oliveira (Meia),88.79,43.01,11.3,160,10.43
6.6,Mateus Oliveira (Meia),93.38,33.6,14.8,167,9.79
6.7,Mateus Oliveira (Meia),80.54,31.69,8.1,159,-18.52
6.8,Mateus Oliveira (Meia),89.89,45.85,6.1,153,-5.76
6.9,Mateus Oliveira (Meia),83.45,53.49,8.6,157,6.98
7.0,Mateus Oliveira (Meia),73.93,47.82,12.6,164,11.24
7.1,Mateus Oliveira (Meia),85.07,48.69,13.5,163,2.5
